date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.30m,n.mate.1hr,ratio.30m,ratio.1hr
,,,,,,,,,,,,, ,,0.5,2.48
9601,20,45,5,14,45,10,15,51.6,NA,NA,NA,NA,0,1,0,0.2
9605,5,45,5,18,45,10,17,NA,NA,NA,NA,NA,0,0,0,0
9606,20,45,5,19,45,10,16,NA,NA,NA,NA,NA,0,0,0,0
9803,11,45,5,6,45,10,9,19.2,37.7,NA,NA,NA,1,2,0.2,0.4
9804,23,45,5,6,45,10,7,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,1,3,0.2,0.6
,,,,,,,,,,,,, ,,0,0.2
9601,19,45,5,14,OS,10,9,60.3,NA,NA,NA,NA,0,0,0,0
9605,4,45,5,18,OS,10,6,NA,NA,NA,NA,NA,0,0,0,0
9606,19,45,5,19,OS,10,5,NA,NA,NA,NA,NA,0,0,0,0
9803,10,45,5,6,OS,10,7,30.7,40.9,57.6,NA,NA,0,3,0,0.6
9804,22,45,5,6,OS,10,8,24.2,39.3,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,1,5,0.2,1
,,,,,,,,,,,,, ,,0,0.52
9601,21,OS,5,9,45,10,15,44.5,NA,NA,NA,NA,0,1,0,0.2
9605,6,OS,5,9,45,10,17,43.1,60.9,NA,NA,NA,0,1,0,0.2
9606,21,OS,5,8,45,10,16,50.6,NA,NA,NA,NA,0,1,0,0.2
9803,12,OS,5,7,45,10,9,56.9,57.7,NA,NA,NA,0,2,0,0.4
9804,24,OS,5,8,45,10,7,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,0,5,0,1
,,,,,,,,,,,,, ,,0,0.28
9528,17,49,5,11,49,10,11,15.2,15.3,29,35.9,NA,3,4,0.6,0.8
9803,14,49,5,5,49,10,9,6.1,6.7,12.2,12.4,36.2,4,5,0.8,1
9804,26,49,5,6,49,10,7,14.8,14.9,26.9,29.2,30.3,4,5,0.8,1
9805,26,49,5,6,49,10,5,9.6,22.1,32.9,37.7,NA,2,4,0.4,0.8
9807,2,49,5,5,49,10,6,20.3,31.3,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,14,20,2.8,4
,,,,,,,,,,,,, ,,1.8,3.44
9528,16,49,5,11,OS,11,8,5.2,5.7,6.2,6.9,7.4,5,5,1,1
9803,13,49,5,5,OS,10,7,6.7,6.8,10.8,12.2,41.8,4,5,0.8,1
9804,25,49,5,6,OS,10,8,5.4,5.5,6.8,7,18.4,5,5,1,1
9805,25,49,5,6,OS,10,8,3.5,4.1,8.1,9.6,16.8,5,5,1,1
9807,1,49,5,5,OS,10,6,6.6,9.2,9.3,13.8,19.1,5,5,1,1
,,,,,,,,,,,,,24,25,4.8,5
,,,,,,,,,,,,, ,,4.6,5
9528,18,OS,5,11,49,10,11,28.8,48.1,54.2,NA,NA,1,3,0.2,0.6
9803,15,OS,5,7,49,10,9,21.9,37.3,56.3,NA,NA,1,3,0.2,0.6
9804,27,OS,5,8,49,10,7,23.1,38.7,38.8,54.1,NA,1,4,0.2,0.8
9805,27,OS,5,8,49,9,6,26.6,49,56.9,NA,NA,1,3,0.2,0.6
9807,3,OS,5,8,49,10,6,29.4,40.3,61,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,5,15,1,3
,,,,,,,,,,,,, ,,0.2,1.88
9528,20,57,5,11,57,10,10,3.7,5.3,8,8.2,9,5,5,1,1
9601,23,57,5,14,57,9,12,8.3,8.4,11.7,14.6,32.6,4,5,0.8,1
9605,8,57,5,18,57,10,14,5.2,5.3,8,8,13,5,5,1,1
9803,17,57,5,4,57,10,9,3.8,6.4,13.8,18.8,31.4,4,5,0.8,1
9807,5,57,5,5,57,10,7,6.1,7.7,8.5,9.4,NA,4,4,0.8,0.8
,,,,,,,,,,,,,22,24,4.4,4.8
,,,,,,,,,,,,, ,,3.9,4.64
9528,19,57,5,11,OS,10,8,4.3,4.8,5.3,7,13.6,5,5,1,1
9601,22,57,5,14,OS,10,9,3.2,4.9,6.3,10.4,17.7,5,5,1,1
9605,7,57,5,18,OS,10,6,5.4,5.9,6.4,14.9,19.7,5,5,1,1
9803,16,57,5,4,OS,10,7,5.1,7.6,7.7,9.6,20.3,5,5,1,1
9807,4,57,5,5,OS,10,6,7.8,12.8,19.1,24.7,41.9,4,5,0.8,1
,,,,,,,,,,,,,24,25,4.8,5
,,,,,,,,,,,,, ,,4.6,5
9528,21,OS,5,11,57,10,10,11,13.8,22.3,27,31.6,4,5,0.8,1
9601,24,OS,5,9,57,10,12,12.9,23,28.6,35.6,47.4,3,5,0.6,1
9605,9,OS,5,9,57,10,14,12.9,12.9,17,26.4,46.9,4,5,0.8,1
9803,18,OS,5,7,57,10,9,17.6,25.1,25.6,25.7,42.9,4,5,0.8,1
9807,6,OS,5,8,57,9,7,8.7,13.1,18.6,20.2,45.4,4,5,0.8,1
,,,,,,,,,,,,,19,25,3.8,5
,,,,,,,,,,,,, ,,2.9,5
9528,23,59,5,11,59,10,11,18.4,41.5,NA,NA,NA,1,2,0.2,0.4
9601,26,59,5,14,59,9,12,16.9,NA,NA,NA,NA,1,1,0.2,0.2
9804,29,59,5,5,59,10,10,12.3,31.2,45.3,NA,NA,1,3,0.2,0.6
9805,29,59,4,4,59,10,5,27.8,NA,NA,NA,NA,1,1,0.25,0.25
9807,8,59,5,5,59,10,6,51.4,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,4,8,0.85,1.65
,,,,,,,,,,,,, ,,0.2,0.6625
9528,22,59,5,11,OS,10,8,6.7,7.9,8.2,9,NA,4,4,0.8,0.8
9601,25,59,5,14,OS,10,9,10,23.9,24.9,NA,NA,3,3,0.6,0.6
9804,28,59,5,5,OS,10,8,5.1,11.2,20.3,25.1,45.2,4,5,0.8,1
9805,28,59,5,4,OS,10,8,7.9,9.3,11.2,12.7,35,4,5,0.8,1
9807,7,59,5,5,OS,10,6,20.2,41.6,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,16,19,3.2,3.8
,,,,,,,,,,,,, ,,2.3,3.16
9528,24,OS,5,11,59,10,11,34.9,46.5,NA,NA,NA,0,2,0,0.4
9601,27,OS,5,9,59,10,12,26.9,37.8,52.1,NA,NA,1,3,0.2,0.6
9804,30,OS,5,8,59,9,10,21.3,23.2,NA,NA,NA,2,2,0.4,0.4
9805,30,OS,5,8,59,10,5,42.1,NA,NA,NA,NA,0,1,0,0.2
9807,9,OS,5,8,59,10,6,20,55,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,4,10,0.8,2
,,,,,,,,,,,,, ,,0.2,0.88
9525,17,69,5,9,69,9,6,44.3,NA,NA,NA,NA,0,1,0,0.2
9528,26,69,5,10,69,10,5,52.4,NA,NA,NA,NA,0,1,0,0.2
9803,20,69,5,4,69,10,9,NA,NA,NA,NA,NA,0,0,0,0
9813,2,69,5,4,69,10,4,20.4,33.9,NA,NA,NA,1,2,0.2,0.4
9814,20,69,5,4,69,10,8,23.7,38,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,2,6,0.4,1.2
,,,,,,,,,,,,, ,,0.1,0.4
9525,16,69,5,9,OS,10,9,21.1,33,NA,NA,NA,1,2,0.2,0.4
9528,25,69,5,10,OS,10,8,NA,NA,NA,NA,NA,0,0,0,0
9803,19,69,5,4,OS,10,7,8.3,10.2,13.6,21.6,NA,4,4,0.8,0.8
9813,1,69,5,4,OS,10,8,11.2,16.9,28.7,NA,NA,2,3,0.4,0.6
9814,19,69,4,4,OS,10,5,14.4,25.4,52.9,NA,NA,2,3,0.5,0.75
,,,,,,,,,,,,,9,12,1.9,2.55
,,,,,,,,,,,,, ,,1.1,1.7225
9525,18,OS,5,16,69,10,6,41.3,NA,NA,NA,NA,0,1,0,0.2
9528,27,OS,5,11,69,10,5,45.8,NA,NA,NA,NA,0,1,0,0.2
9803,21,OS,5,7,69,10,9,11.6,28.6,41.5,NA,NA,2,3,0.4,0.6
9813,3,OS,5,10,69,10,4,28,37.5,NA,NA,NA,1,2,0.2,0.4
9814,21,OS,5,11,69,10,8,8.4,24.8,45.7,NA,NA,2,3,0.4,0.6
,,,,,,,,,,,,,5,10,1,2
,,,,,,,,,,,,, ,,0.4,0.96
9601,29,73,5,16,73,10,10,NA,NA,NA,NA,NA,0,0,0,0
9803,23,73,5,4,73,9,9,49,NA,NA,NA,NA,0,1,0,0.2
9805,2,73,5,5,73,10,5,20.2,40.1,58.2,NA,NA,1,3,0.2,0.6
9806,2,73,5,5,73,10,6,36.3,54.2,54.4,NA,NA,0,3,0,0.6
9807,11,73,5,5,73,10,5,45.3,51.5,NA,NA,NA,0,2,0,0.4
,,,,,,,,,,,,,1,9,0.2,1.8
,,,,,,,,,,,,, ,,0,0.92
9601,28,73,5,16,OS,10,9,5.9,8.6,16.4,45.7,NA,3,4,0.6,0.8
9803,22,73,4,4,OS,10,7,18.2,28.5,37.9,57.6,NA,2,4,0.5,1
9805,1,73,5,5,OS,10,8,7.7,19,31,58,58.9,2,5,0.4,1
9806,1,73,5,5,OS,10,7,17.4,26.1,30.8,36.6,48.4,2,5,0.4,1
9807,10,73,5,5,OS,10,6,24,27.5,40.1,56.9,NA,2,4,0.4,0.8
,,,,,,,,,,,,,11,22,2.3,4.6
,,,,,,,,,,,,, ,,1.1,4.28
9601,30,OS,5,9,73,10,10,34,NA,NA,NA,NA,0,1,0,0.2
9803,24,OS,5,7,73,10,9,49,NA,NA,NA,NA,0,1,0,0.2
9805,3,OS,5,8,73,9,5,32.6,50.7,51.1,NA,NA,0,3,0,0.6
9806,3,OS,5,9,73,10,6,40.9,58.7,NA,NA,NA,0,2,0,0.4
9807,12,OS,5,8,73,10,5,18.2,25.6,40.2,57.9,NA,2,4,0.4,0.8
,,,,,,,,,,,,,2,11,0.4,2.2
,,,,,,,,,,,,, ,,0.2,1.24
9525,20,75,5,10,75,10,10,8.3,8.3,18.2,29.2,52.7,4,5,0.8,1
9528,29,75,5,12,75,10,12,7.4,12,12.1,22.7,NA,4,4,0.8,0.8
9602,2,75,5,16,75,9,12,6.5,11.2,13.9,24.3,54.9,4,5,0.8,1
9805,5,75,5,5,75,10,5,9.7,13.1,55.8,NA,NA,2,3,0.4,0.6
9806,5,75,5,4,75,10,6,28.2,42.1,60.5,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,15,19,3,3.8
,,,,,,,,,,,,, ,,2.1,3.16
9525,19,75,5,10,OS,10,9,7.2,12.6,31.7,41.3,NA,2,4,0.4,0.8
9528,28,75,5,12,OS,10,8,7.3,7.4,26.2,53.2,NA,3,4,0.6,0.8
9602,1,75,5,16,OS,10,7,7.2,10.8,11.4,12.3,17.4,5,5,1,1
9805,4,75,5,5,OS,10,8,6.6,6.7,11.1,18.7,NA,4,4,0.8,0.8
9806,4,75,5,4,OS,10,7,14.3,21.2,21.4,NA,NA,3,3,0.6,0.6
,,,,,,,,,,,,,17,20,3.4,4
,,,,,,,,,,,,, ,,2.5,3.28
9525,21,OS,5,16,75,10,10,10.4,11,16.4,23.4,34.9,4,5,0.8,1
9528,30,OS,5,11,75,10,12,7.2,17.9,18.1,22.5,35.8,4,5,0.8,1
9602,3,OS,5,8,75,10,12,12.1,23.9,27.4,NA,NA,3,3,0.6,0.6
9805,6,OS,5,8,75,10,5,9.7,9.7,22,27.7,32.5,4,5,0.8,1
9806,6,OS,5,9,75,10,6,31,43,59.4,NA,NA,0,3,0,0.6
,,,,,,,,,,,,,15,21,3,4.2
,,,,,,,,,,,,, ,,2.3,3.72
9506,2,83,5,11,83,10,9,8.9,14.2,15,40,NA,3,4,0.6,0.8
9511,17,83,5,14,83,10,12,6,9.1,32.1,48.3,NA,2,4,0.4,0.8
9515,26,83,5,16,83,10,14,9.8,12.8,NA,NA,NA,2,2,0.4,0.4
9817,26,83,4,6,83,10,11,6.3,27.4,51.7,NA,NA,2,3,0.5,0.75
9821,29,83,5,8,83,11,10,5.1,15.9,20.3,38.8,49.5,3,5,0.6,1
,,,,,,,,,,,,,12,18,2.5,3.75
,,,,,,,,,,,,, ,,1.3,3.0025
9506,1,83,5,11,OS,10,13,9,15,15.2,27.6,48,4,5,0.8,1
9511,16,83,5,14,OS,10,8,18.3,35,NA,NA,NA,1,2,0.2,0.4
9515,25,83,5,16,OS,10,6,3.8,NA,NA,NA,NA,1,1,0.2,0.2
9817,25,83,5,6,OS,10,5,5.6,8.9,13.4,22,49.2,4,5,0.8,1
9821,28,83,5,8,OS,10,9,5.1,5.9,13.1,24.4,38.2,4,5,0.8,1
,,,,,,,,,,,,,14,18,2.8,3.6
,,,,,,,,,,,,, ,,2,3.2
9506,3,OS,5,9,83,10,9,20.9,26.6,38.8,NA,NA,2,3,0.4,0.6
9511,18,OS,5,9,83,10,12,16.1,17,27.6,27.8,43.6,4,5,0.8,1
9515,27,OS,5,9,83,10,14,13.9,23.1,32.1,40.5,48.4,2,5,0.4,1
