date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.30m,n.mate.1hr,ratio.30m,ratio.1hr
9717,7,802,5,9,OS,10,7,8.8,14.3,22.1,30.3,52.7,3,5,0.6,1
,,,,,,,,,,,,,18,22,3.6,4.4
,,,,,,,,,,,,, ,,2.8,4
9711,6,OS,5,10,802,10,11,55.5,NA,NA,NA,NA,0,1,0,0.2
9712,3,OS,5,10,802,10,12,32.1,41.2,60.5,NA,NA,0,2,0,0.4
9713,21,OS,5,11,802,10,12,27.1,39.3,39.3,47.2,55.6,1,5,0.2,1
9716,27,OS,5,13,802,10,12,38,50.1,NA,NA,NA,0,2,0,0.4
9717,9,OS,5,12,802,10,7,57.9,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,1,11,0.2,2.2
,,,,,,,,,,,,, ,,0,1.4
9707,29,804,5,6,804,10,7,12.7,18.1,30.2,53.7,NA,2,4,0.4,0.8
9710,5,804,5,9,804,10,9,35.3,59.2,NA,NA,NA,0,2,0,0.4
9712,5,804,5,6,804,10,9,22,33.8,47.2,NA,NA,1,3,0.2,0.6
9713,23,804,5,6,804,10,7,25.2,32.6,NA,NA,NA,1,2,0.2,0.4
9715,23,804,5,7,804,10,8,31.3,42.4,55.4,57.6,NA,0,4,0,0.8
,,,,,,,,,,,,,4,15,0.8,3
,,,,,,,,,,,,, ,,0.2,1.96
9707,28,804,5,6,OS,10,5,7,18.1,31.3,43.4,NA,2,4,0.4,0.8
9710,4,804,5,9,OS,10,8,23,24,51.6,52.5,NA,2,4,0.4,0.8
9712,4,804,5,6,OS,10,8,15.9,24.9,54.9,NA,NA,2,3,0.4,0.6
9713,22,804,5,6,OS,10,9,6.7,14.5,14.8,14.8,14.9,5,5,1,1
9715,22,804,5,7,OS,10,10,7.6,12.8,29.5,NA,NA,3,3,0.6,0.6
,,,,,,,,,,,,,14,19,2.8,3.8
,,,,,,,,,,,,, ,,1.8,3
9707,30,OS,5,8,804,10,7,13.2,21.8,NA,NA,NA,2,2,0.4,0.4
9710,6,OS,5,9,804,10,9,22.6,27.4,27.4,33.1,NA,3,4,0.6,0.8
9712,6,OS,5,10,804,10,9,27.9,27.9,28,38.9,NA,3,4,0.6,0.8
9713,24,OS,5,11,804,10,7,32.5,32.7,41.1,NA,NA,0,3,0,0.6
9715,24,OS,5,13,804,10,8,4.7,33.5,48.2,NA,NA,1,3,0.2,0.6
,,,,,,,,,,,,,9,16,1.8,3.2
,,,,,,,,,,,,, ,,0.9,2.16
9711,8,805,5,7,805,10,11,35.9,42,55.3,NA,NA,0,3,0,0.6
9713,26,805,5,6,805,9,13,7.8,27.8,52.5,NA,NA,2,3,0.4,0.6
9715,26,805,5,7,805,10,8,24.3,31.1,45.9,NA,NA,1,3,0.2,0.6
9918,17,805,5,5,805,10,4,27.6,34.9,NA,NA,NA,1,2,0.2,0.4
9922,2,805,5,9,805,10,6,58.9,59.1,NA,NA,NA,0,2,0,0.4
,,,,,,,,,,,,,4,13,0.8,2.6
,,,,,,,,,,,,, ,,0.2,1.4
9711,7,805,5,7,OS,10,8,16.6,22.6,59.1,NA,NA,2,3,0.4,0.6
9713,25,805,5,6,OS,10,9,8,25,46.6,47.6,NA,2,4,0.4,0.8
9715,25,805,5,7,OS,10,10,5.4,14.2,19.8,44.6,NA,3,4,0.6,0.8
9918,16,805,5,5,OS,10,8,10.9,18.4,39,47.6,NA,2,4,0.4,0.8
9922,1,805,5,9,OS,10,7,15.3,36.7,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,10,17,2,3.4
,,,,,,,,,,,,, ,,0.9,2.44
9711,9,OS,5,10,805,10,11,14.7,19,26.2,31.7,37.3,3,5,0.6,1
9713,27,OS,5,11,805,10,13,18,30.2,30.5,30.6,NA,1,4,0.2,0.8
9715,27,OS,5,13,805,10,8,9.7,28.4,30.3,44.3,48.8,2,5,0.4,1
9918,18,OS,5,5,805,10,4,18.5,26,34.9,51,51.1,2,5,0.4,1
9922,3,OS,5,8,805,10,6,11.4,19.9,31.4,48.4,NA,2,4,0.4,0.8
,,,,,,,,,,,,,10,23,2,4.6
,,,,,,,,,,,,, ,,0.9,4.28
9710,8,808,5,9,808,10,8,10.6,19.5,30.2,38.7,42.9,2,5,0.4,1
9711,11,808,5,9,808,10,7,13.8,28.3,28.4,33,NA,3,4,0.6,0.8
9712,8,808,5,11,808,10,8,38.7,56.7,NA,NA,NA,0,2,0,0.4
9713,29,808,5,6,808,10,9,10.1,11.1,17.8,20.1,41.6,4,5,0.8,1
9715,29,808,5,7,808,11,5,16.6,17.8,41.6,NA,NA,2,3,0.4,0.6
,,,,,,,,,,,,,11,19,2.2,3.8
,,,,,,,,,,,,, ,,1.3,3.16
9710,7,808,5,9,OS,10,8,15.7,19.5,19.7,NA,NA,3,3,0.6,0.6
9711,10,808,5,9,OS,10,8,23.2,NA,NA,NA,NA,1,1,0.2,0.2
9712,7,808,5,11,OS,10,8,9.9,28,29.4,NA,NA,3,3,0.6,0.6
9713,28,808,5,6,OS,10,9,7.5,7.6,12.2,22,45,4,5,0.8,1
9715,28,808,5,7,OS,10,10,13.9,19,37.6,38.3,NA,2,4,0.4,0.8
,,,,,,,,,,,,,13,16,2.6,3.2
,,,,,,,,,,,,, ,,1.6,2.4
9710,9,OS,5,9,808,10,8,8.7,10.2,16.6,17.4,21.7,5,5,1,1
9711,12,OS,5,10,808,10,7,12.1,17.8,28,45.3,NA,3,4,0.6,0.8
9712,9,OS,5,10,808,10,8,20.3,38.7,NA,NA,NA,1,2,0.2,0.4
9713,30,OS,5,11,808,10,9,4.5,9.2,9.6,24.4,29.9,5,5,1,1
9715,30,OS,5,13,808,10,5,19,28.1,41.3,56.1,NA,2,4,0.4,0.8
,,,,,,,,,,,,,16,20,3.2,4
,,,,,,,,,,,,, ,,2.6,3.44
9708,2,810,5,7,810,10,8,NA,NA,NA,NA,NA,0,0,0,0
9710,11,810,5,9,810,10,10,35.6,NA,NA,NA,NA,0,1,0,0.2
9712,11,810,5,9,810,10,11,25.5,50.3,NA,NA,NA,1,2,0.2,0.4
9714,5,810,5,6,810,10,13,NA,NA,NA,NA,NA,0,0,0,0
9919,23,810,5,6,810,10,5,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,1,3,0.2,0.6
,,,,,,,,,,,,, ,,0,0.2
9708,1,810,5,7,OS,10,7,9.2,9.3,30.7,52.9,NA,2,4,0.4,0.8
9710,10,810,5,9,OS,10,8,NA,NA,NA,NA,NA,0,0,0,0
9712,10,810,5,9,OS,10,8,14,26.7,59.9,NA,NA,2,3,0.4,0.6
9714,4,810,5,6,OS,10,9,14.8,16,51.5,NA,NA,2,3,0.4,0.6
9919,22,810,5,6,OS,10,6,3.2,10.3,13.2,41.8,43.9,3,5,0.6,1
,,,,,,,,,,,,,9,15,1.8,3
,,,,,,,,,,,,, ,,0.8,2.36
9708,3,OS,5,8,810,10,8,57.4,NA,NA,NA,NA,0,1,0,0.2
9710,12,OS,5,9,810,10,10,31.8,NA,NA,NA,NA,0,1,0,0.2
9712,12,OS,5,10,810,10,11,15,32.1,40,48.4,NA,1,4,0.2,0.8
9714,6,OS,5,12,810,10,13,23,36.1,NA,NA,NA,1,2,0.2,0.4
9919,24,OS,5,6,810,10,5,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,2,8,0.4,1.6
,,,,,,,,,,,,, ,,0.1,0.88
9710,14,812,5,9,812,10,10,NA,NA,NA,NA,NA,0,0,0,0
9712,14,812,5,6,812,10,11,NA,NA,NA,NA,NA,0,0,0,0
9714,8,812,5,7,812,9,13,51,NA,NA,NA,NA,0,1,0,0.2
9716,2,812,5,8,812,10,12,NA,NA,NA,NA,NA,0,0,0,0
9917,2,812,5,5,812,10,5,59.7,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,0,2,0,0.4
,,,,,,,,,,,,, ,,0,0.08
9710,13,812,5,9,OS,10,8,37.5,NA,NA,NA,NA,0,1,0,0.2
9712,13,812,5,6,OS,10,8,NA,NA,NA,NA,NA,0,0,0,0
9714,7,812,5,7,OS,10,9,8.6,21.5,21.6,NA,NA,3,3,0.6,0.6
9716,1,812,5,8,OS,10,8,20.7,24.6,40.8,40.8,NA,2,4,0.4,0.8
9917,1,812,5,5,OS,10,9,48.2,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,5,9,1,1.8
,,,,,,,,,,,,, ,,0.5,1.08
9710,15,OS,5,9,812,10,10,11.3,25.1,47.4,57.9,NA,2,4,0.4,0.8
9712,15,OS,5,10,812,10,11,28.7,38.1,43.2,53.6,NA,1,4,0.2,0.8
9714,9,OS,5,12,812,10,13,31.2,41.3,NA,NA,NA,0,2,0,0.4
9716,3,OS,5,13,812,10,12,35.5,46,46,NA,NA,0,3,0,0.6
9917,3,OS,5,5,812,10,5,23.1,23.2,36.7,48.2,NA,2,4,0.4,0.8
,,,,,,,,,,,,,5,17,1,3.4
,,,,,,,,,,,,, ,,0.4,2.44
9708,5,818,5,7,818,10,8,20,26.2,38.5,54.5,NA,2,4,0.4,0.8
9710,17,818,5,9,818,10,8,17.4,28.4,49.3,NA,NA,2,3,0.4,0.6
9712,17,818,5,8,818,10,8,31.6,53,NA,NA,NA,0,2,0,0.4
9714,11,818,5,6,818,10,8,12.8,27.9,42.4,55.2,NA,2,4,0.4,0.8
9716,5,818,5,8,818,10,7,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,6,13,1.2,2.6
,,,,,,,,,,,,, ,,0.5,1.8
9708,4,818,5,7,OS,10,7,8,11.6,18,24.9,NA,4,4,0.8,0.8
9710,16,818,5,9,OS,10,8,11.2,11.3,11.4,17.6,NA,4,4,0.8,0.8
9712,16,818,5,8,OS,10,8,9.7,10.6,18.6,19.3,NA,4,4,0.8,0.8
9714,10,818,5,6,OS,10,9,11.1,11.3,17.3,29.9,NA,4,4,0.8,0.8
9716,4,818,5,8,OS,10,8,9,13.4,16.6,29.1,48.8,4,5,0.8,1
,,,,,,,,,,,,,20,21,4,4.2
,,,,,,,,,,,,, ,,3.2,3.56
9708,6,OS,5,8,818,10,8,10.1,27.3,44.3,NA,NA,2,3,0.4,0.6
9710,18,OS,5,9,818,10,8,35.7,40.8,47.7,NA,NA,0,3,0,0.6
9712,18,OS,5,10,818,10,8,56.9,NA,NA,NA,NA,0,1,0,0.2
9714,12,OS,5,12,818,10,8,59.7,NA,NA,NA,NA,0,1,0,0.2
9716,6,OS,5,13,818,10,7,8.9,35.2,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,3,10,0.6,2
,,,,,,,,,,,,, ,,0.2,0.96
9708,8,819,5,7,819,10,8,NA,NA,NA,NA,NA,0,0,0,0
9710,20,819,5,9,819,10,9,17.1,30.7,NA,NA,NA,1,2,0.2,0.4
9711,14,819,5,9,819,10,9,16,19.9,47.1,NA,NA,2,3,0.4,0.6
9712,20,819,5,10,819,9,8,17.3,28.9,49.2,NA,NA,2,3,0.4,0.6
9714,14,819,5,12,819,10,10,21.8,30.1,35.8,51.6,NA,1,4,0.2,0.8
9716,8,819,5,8,819,10,12,24.7,24,25.9,30.2,68.9,3,4,0.6,0.8
,,,,,,,,,,,,,9,16,1.8,3.2
,,,,,,,,,,,,, ,,0.8,2.16
9708,7,819,5,7,OS,10,7,13,15.7,19.2,19.5,38.9,4,5,0.8,1
9710,19,819,5,9,OS,10,9,17.1,17.3,35.2,44.5,53.6,2,5,0.4,1
9711,13,819,5,9,OS,10,8,5,12,29.1,44.4,45.2,3,5,0.6,1
9712,19,819,5,10,OS,10,8,6.8,8.3,10.3,18.3,NA,4,4,0.8,0.8
9714,13,819,5,6,OS,10,9,13.6,25.4,41,55.9,NA,2,4,0.4,0.8
9716,7,819,5,8,OS,10,8,17.3,26.4,45.7,55.9,NA,2,4,0.4,0.8
,,,,,,,,,,,,,13,22,2.6,4.4
,,,,,,,,,,,,, ,,1.5,3.92
9708,9,OS,5,8,819,10,8,NA,NA,NA,NA,NA,0,0,0,0
9710,21,OS,5,9,819,10,8,19.2,42.2,NA,NA,NA,1,2,0.2,0.4
9711,15,OS,5,10,819,10,9,11.4,32.6,49.8,NA,NA,1,3,0.2,0.6
9712,21,OS,5,10,819,10,8,20.7,20.9,32.3,57.4,NA,2,4,0.4,0.8
9714,15,OS,5,12,819,10,10,46.3,NA,NA,NA,NA,0,1,0,0.2
9716,9,OS,5,13,819,10,12,55.6,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,4,11,0.8,2.2
,,,,,,,,,,,,, ,,0.2,1.24
9710,23,821,5,9,821,10,10,NA,NA,NA,NA,NA,0,0,0,0
9711,17,821,5,9,821,10,10,NA,NA,NA,NA,NA,0,0,0,0
9712,23,821,5,10,821,10,9,46.8,NA,NA,NA,NA,0,1,0,0.2
9714,17,821,5,6,821,10,10,40.2,NA,NA,NA,NA,0,1,0,0.2
9917,5,821,5,5,821,10,5,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,0,2,0,0.4
,,,,,,,,,,,,, ,,0,0.08
9710,22,821,5,9,OS,10,8,9.6,19.2,NA,NA,NA,2,2,0.4,0.4
9711,16,821,5,9,OS,10,8,10.1,17.3,21.7,29.1,NA,4,4,0.8,0.8
9712,22,821,5,10,OS,10,8,11.8,15.1,34.9,NA,NA,2,3,0.4,0.6
9714,16,821,5,12,OS,10,9,7.4,15.5,NA,NA,NA,2,2,0.4,0.4
9917,4,821,5,5,OS,10,9,9,14.9,18.9,19.7,23.3,5,5,1,1
,,,,,,,,,,,,,15,16,3,3.2
,,,,,,,,,,,,, ,,2.1,2.32
9710,24,OS,5,9,821,10,10,39.8,NA,NA,NA,NA,0,1,0,0.2
9711,18,OS,5,10,821,10,10,51.6,NA,NA,NA,NA,0,1,0,0.2
9712,24,OS,5,10,821,10,9,NA,NA,NA,NA,NA,0,0,0,0
9714,18,OS,5,12,821,10,10,NA,NA,NA,NA,NA,0,0,0,0
9917,6,OS,5,5,821,10,5,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,0,2,0,0.4
,,,,,,,,,,,,, ,,0,0.08
9712,26,822,5,5,822,10,12,19.5,46.3,55.1,60.5,NA,1,3,0.2,0.6
9714,20,822,5,6,822,10,13,8.8,14.8,18.6,26.6,59.5,4,5,0.8,1
9716,11,822,5,8,822,10,12,14.8,50.1,61.1,NA,NA,1,2,0.2,0.4
9717,2,822,5,9,822,10,6,9.4,16,30.9,58,NA,2,4,0.4,0.8
9922,5,822,5,9,822,10,7,12.7,25.4,36.2,46.8,46.9,2,5,0.4,1
,,,,,,,,,,,,,10,19,2,3.8
,,,,,,,,,,,,, ,,1,3.16
9712,25,822,5,5,OS,10,8,5.2,5.4,8.6,19.7,24.7,5,5,1,1
9714,19,822,5,6,OS,10,9,7.9,14.6,21.3,57.3,NA,3,4,0.6,0.8
9716,10,822,5,8,OS,11,8,19.5,51.5,NA,NA,NA,1,2,0.2,0.4
9717,1,822,5,9,OS,10,7,5.8,6.2,9.2,9.3,NA,4,4,0.8,0.8
9922,4,822,5,9,OS,10,7,5.4,9.4,10.4,13,19.4,5,5,1,1
,,,,,,,,,,,,,18,20,3.6,4
,,,,,,,,,,,,, ,,3,3.44
9712,27,OS,5,10,822,10,12,35.1,NA,NA,NA,NA,0,1,0,0.2
9714,21,OS,5,12,822,10,13,36.9,37.8,NA,NA,NA,0,2,0,0.4
9716,12,OS,5,13,822,10,12,NA,NA,NA,NA,NA,0,0,0,0
9717,3,OS,5,12,822,10,6,43.1,50.1,NA,NA,NA,0,2,0,0.4
9922,6,OS,5,8,822,10,7,31.2,53.8,NA,NA,NA,0,2,0,0.4
,,,,,,,,,,,,,0,7,0,1.4
,,,,,,,,,,,,, ,,0,0.52
9708,11,832,5,7,832,10,8,22.3,25.5,56.6,NA,NA,2,3,0.4,0.6
9711,20,832,5,6,832,10,11,11.8,18.1,21,28.6,NA,4,4,0.8,0.8
9714,23,832,5,6,832,10,6,10.5,18.8,38.6,50.3,NA,2,4,0.4,0.8
9717,14,832,5,9,832,10,7,8.3,23.5,30.8,48.3,NA,2,4,0.4,0.8
9917,8,832,5,5,832,10,5,31.4,45.1,45.1,NA,NA,0,3,0,0.6
,,,,,,,,,,,,,10,18,2,3.6
,,,,,,,,,,,,, ,,1.1,2.64
9708,10,832,5,7,OS,10,7,16.2,22.8,31.9,40,NA,2,4,0.4,0.8
9711,19,832,5,6,OS,10,8,14.1,26.1,35.1,35.2,NA,2,4,0.4,0.8
9714,22,832,5,6,OS,10,9,4.2,7.9,15.1,21.9,25.7,5,5,1,1
9717,13,832,5,9,OS,10,7,8.2,14.6,20.2,20.3,27.8,5,5,1,1
9917,7,832,5,5,OS,10,9,32.9,34.9,NA,NA,NA,0,2,0,0.4
,,,,,,,,,,,,,14,20,2.8,4
,,,,,,,,,,,,, ,,2.3,3.44
9708,12,OS,5,8,832,10,8,17.9,19,28.7,55.4,NA,3,4,0.6,0.8
9711,21,OS,5,10,832,9,11,15.2,22.4,23.3,35.9,52.9,3,5,0.6,1
9714,24,OS,5,12,832,10,6,38.8,48.4,57.5,NA,NA,0,3,0,0.6
9717,15,OS,5,12,832,10,7,37.7,NA,NA,NA,NA,0,1,0,0.2
9917,9,OS,5,5,832,10,5,31.4,53.8,NA,NA,NA,0,2,0,0.4
,,,,,,,,,,,,,6,15,1.2,3
,,,,,,,,,,,,, ,,0.7,2.2
9714,26,837,5,6,837,10,13,24.9,48.5,NA,NA,NA,1,2,0.2,0.4
9917,11,837,5,5,837,10,5,12.2,13.3,36.4,56.7,NA,2,4,0.4,0.8
9918,20,837,5,5,837,10,6,10.4,27.6,34.6,56.8,NA,2,4,0.4,0.8
9919,26,837,5,6,837,10,6,20.6,25.9,41.5,41.6,NA,2,4,0.4,0.8
9922,8,837,5,8,837,10,7,41.9,56.7,NA,NA,NA,0,2,0,0.4
,,,,,,,,,,,,,7,16,1.4,3.2
,,,,,,,,,,,,, ,,0.5,2.24
9714,25,837,5,6,OS,10,9,8.5,8.6,9.2,21.5,48.9,4,5,0.8,1
9917,10,837,5,5,OS,10,9,6,7.5,8,8.7,15.7,5,5,1,1
9918,19,837,5,5,OS,10,8,9.1,14.5,14.6,22.5,24.1,5,5,1,1
9919,25,837,5,6,OS,10,6,5.2,11.6,24.7,33.4,33.5,3,5,0.6,1
9922,7,837,5,8,OS,10,7,14.7,16.7,29.5,NA,NA,3,3,0.6,0.6
,,,,,,,,,,,,,20,23,4,4.6
,,,,,,,,,,,,, ,,3.4,4.36
9714,27,OS,5,12,837,10,13,33,52.4,NA,NA,NA,0,2,0,0.4
9917,12,OS,5,5,837,10,5,NA,NA,NA,NA,NA,0,0,0,0
9918,21,OS,5,5,837,10,6,42.5,49,NA,NA,NA,0,2,0,0.4
9919,27,OS,5,6,837,10,6,21.9,30.4,43.9,52.5,NA,1,4,0.2,0.8
9922,9,OS,5,8,837,9,7,30.8,41.3,41.4,NA,NA,0,3,0,0.6
,,,,,,,,,,,,,1,11,0.2,2.2
,,,,,,,,,,,,, ,,0,1.32
9708,14,843,5,7,843,10,8,5.3,21.6,28.2,37.3,NA,4,4,0.8,0.8
9714,29,843,5,6,843,10,13,6.9,13.8,28.7,NA,NA,3,3,0.6,0.6
9716,14,843,5,8,843,10,15,10.6,17.7,33.4,NA,NA,2,3,0.4,0.6
9918,23,843,5,5,843,10,6,13,21.2,NA,NA,NA,2,2,0.4,0.4
9922,11,843,5,8,843,10,8,28.3,29.3,NA,NA,NA,2,2,0.4,0.4
,,,,,,,,,,,,,13,14,2.6,2.8
,,,,,,,,,,,,, ,,1.5,1.68
9708,13,843,5,7,OS,10,7,8.7,13.7,16.4,30.7,41,3,5,0.6,1
9714,28,843,5,6,OS,10,9,4.4,5.7,9.9,12.8,34.2,4,5,0.8,1
9716,13,843,5,8,OS,10,8,9.3,9.4,11.8,18.3,46.2,4,5,0.8,1
9918,22,843,4,5,OS,10,8,6.8,9,27.6,29.1,NA,4,4,1,1
9922,10,843,5,8,OS,10,7,7.4,14.1,14.5,27.8,NA,4,4,0.8,0.8
,,,,,,,,,,,,,19,23,4,4.8
,,,,,,,,,,,,, ,,3.3,4.64
9708,15,OS,5,8,843,10,8,40.8,NA,NA,NA,NA,0,1,0,0.2
9714,30,OS,5,12,843,10,13,10.5,47.4,48.2,50.1,NA,1,4,0.2,0.8
9716,15,OS,5,13,843,10,15,29.4,30.6,NA,NA,NA,1,2,0.2,0.4
9918,24,OS,5,5,843,10,6,21.2,42,NA,NA,NA,1,2,0.2,0.4
9922,12,OS,5,8,843,10,8,23,44.6,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,4,11,0.8,2.2
,,,,,,,,,,,,, ,,0.2,1.16
9711,23,849,5,10,849,10,11,5.9,5.9,7.8,8.4,24,5,5,1,1
9715,2,849,5,6,849,10,13,4.8,8,10.7,18.1,19.4,5,5,1,1
9717,11,849,5,7,849,10,13,6.7,8.4,10,11.2,36.6,4,5,0.8,1
9918,26,849,5,5,849,10,6,4.8,11.1,12,25.3,28.6,5,5,1,1
9922,14,849,5,8,849,10,9,7.2,10.5,11.7,21.7,NA,4,4,0.8,0.8
,,,,,,,,,,,,,23,24,4.6,4.8
,,,,,,,,,,,,, ,,4.3,4.64
9711,22,849,5,10,OS,10,8,4.8,5.3,8,10.7,13.7,5,5,1,1
9715,1,849,5,6,OS,10,10,5.7,6.1,7.4,10.8,19.5,5,5,1,1
9717,10,849,5,7,OS,10,7,8.2,8.4,21.4,45.8,NA,3,4,0.6,0.8
9918,25,849,5,5,OS,10,8,4.2,4.8,7.7,16,16.2,5,5,1,1
9922,13,849,5,8,OS,10,7,4.7,7.2,9.3,17.2,26.3,5,5,1,1
,,,,,,,,,,,,,23,24,4.6,4.8
,,,,,,,,,,,,, ,,4.4,4.64
9711,24,OS,5,10,849,10,11,9.5,19.8,35.6,48.2,NA,2,4,0.4,0.8
9715,3,OS,5,13,849,10,13,18.1,34.5,45.5,53.6,NA,1,4,0.2,0.8
9717,12,OS,5,12,849,10,13,17.7,26.8,40.3,52.4,NA,2,4,0.4,0.8
9918,27,OS,5,5,849,10,6,30.9,35.3,49.5,55.9,NA,0,4,0,0.8
9922,15,OS,5,8,849,10,9,25.2,31.4,45,56.7,57.6,1,5,0.2,1
,,,,,,,,,,,,,6,21,1.2,4.2
,,,,,,,,,,,,, ,,0.4,3.56
9711,26,850,5,7,850,10,11,6.3,36.5,51.8,52.3,NA,1,4,0.2,0.8
9715,5,850,5,8,850,10,15,13.3,17.8,42,57.1,NA,2,4,0.4,0.8
9922,17,850,5,7,850,10,10,14.2,31.2,50.5,NA,NA,1,3,0.2,0.6
9923,2,850,5,6,850,10,8,20.5,49.5,57.7,NA,NA,1,3,0.2,0.6
9924,2,850,5,11,850,10,6,34,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,5,15,1,3
,,,,,,,,,,,,, ,,0.3,2.04
9711,25,850,5,7,OS,10,8,7.1,16.1,20.7,38.4,NA,3,4,0.6,0.8
9715,4,850,5,8,OS,10,10,12.2,13.1,23.1,28.3,60.8,4,4,0.8,0.8
9922,16,850,5,7,OS,10,7,14.4,14.5,21.2,26.2,52.6,4,5,0.8,1
9923,1,850,5,6,OS,10,8,4.5,6.6,13.2,13.3,13.4,5,5,1,1
9924,1,850,5,11,OS,10,7,20.9,45.5,45.6,NA,NA,1,3,0.2,0.6
,,,,,,,,,,,,,17,21,3.4,4.2
,,,,,,,,,,,,, ,,2.7,3.64
9711,27,OS,5,10,850,10,11,28.6,42.4,47.6,55.2,NA,1,4,0.2,0.8
9715,6,OS,5,13,850,10,15,30.9,38.7,59.6,NA,NA,0,3,0,0.6
9922,18,OS,5,8,850,10,10,NA,NA,NA,NA,NA,0,0,0,0
9923,3,OS,5,9,850,11,8,NA,NA,NA,NA,NA,0,0,0,0
9924,3,OS,5,9,850,10,6,30.8,31.9,53.1,NA,NA,0,3,0,0.6
,,,,,,,,,,,,,1,10,0.2,2
,,,,,,,,,,,,, ,,0,1.36
9708,17,853,5,7,853,10,8,34.8,46.8,NA,NA,NA,0,2,0,0.4
9715,8,853,5,7,853,10,14,14.4,15.2,24.9,41.7,NA,3,4,0.6,0.8
9918,29,853,5,5,853,10,6,17.5,NA,NA,NA,NA,1,1,0.2,0.2
9919,29,853,5,6,853,10,7,25.6,30.1,39.9,50.8,NA,1,4,0.2,0.8
9922,20,853,5,10,853,10,9,16.2,32.4,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,6,13,1.2,2.6
,,,,,,,,,,,,, ,,0.5,1.64
9708,16,853,5,7,OS,10,7,7.2,13,13.1,13.8,30.3,4,5,0.8,1
9715,7,853,5,7,OS,10,10,14.7,14.8,22.8,NA,NA,3,3,0.6,0.6
9918,28,853,5,5,OS,10,8,6.5,12.1,13.9,15.2,53.9,4,5,0.8,1
9919,28,853,5,6,OS,10,6,6.5,6.5,9.5,9.6,17.7,5,5,1,1
9922,19,853,5,10,OS,10,7,9.9,11.1,17.9,37.4,NA,3,4,0.6,0.8
,,,,,,,,,,,,,19,22,3.8,4.4
,,,,,,,,,,,,, ,,3,4
9708,18,OS,5,8,853,10,8,12.5,29.6,37.8,NA,NA,2,3,0.4,0.6
9715,9,OS,5,13,853,10,14,30.6,36.5,52.9,NA,NA,0,3,0,0.6
9918,30,OS,5,5,853,10,6,22.7,35.2,40.2,49,53.7,1,5,0.2,1
9919,30,OS,5,6,853,10,7,34,46.2,NA,NA,NA,0,2,0,0.4
9922,21,OS,5,8,853,10,9,9.8,30.8,34.1,49.6,NA,1,4,0.2,0.8
,,,,,,,,,,,,,4,17,0.8,3.4
,,,,,,,,,,,,, ,,0.2,2.52
9715,11,855,6,10,855,11,15,17.1,17.6,25.1,47.2,47.5,3,5,0.5,0.833333333
9716,17,855,5,8,855,10,12,14,15,23.9,34.1,37.3,3,5,0.6,1
9717,5,855,5,9,855,10,13,17.4,24.5,27.7,41.9,56.8,3,5,0.6,1
9917,14,855,5,5,855,10,5,33.1,40,NA,NA,NA,0,2,0,0.4
9921,2,855,5,8,855,10,8,19.5,30.1,46.4,NA,NA,1,4,0.2,0.8
,,,,,,,,,,,,,10,21,1.9,4.033333333
,,,,,,,,,,,,, ,,1,3.494444444
9715,10,855,5,10,OS,10,10,5.9,8,9.6,10.7,15.9,5,5,1,1
9716,16,855,5,8,OS,10,8,7.7,14.3,15.1,17.6,22.7,5,5,1,1
9717,4,855,5,9,OS,10,7,9.1,16.3,24.6,28.8,30.9,4,5,0.8,1
9917,13,855,5,5,OS,10,9,11.7,18.6,24.2,29.5,30.9,4,5,0.8,1
9921,1,855,5,8,OS,10,7,9.1,12.6,14,15.5,26.9,5,5,1,1
,,,,,,,,,,,,,23,25,4.6,5
,,,,,,,,,,,,, ,,4.3,5
9715,12,OS,5,13,855,9,15,19.9,30.4,46.6,52.6,NA,1,4,0.2,0.8
9716,18,OS,5,13,855,10,12,22.5,23.9,25.4,41.7,NA,2,4,0.4,0.8
9717,6,OS,5,12,855,9,13,36,49.3,49.8,NA,NA,0,3,0,0.6
9917,15,OS,5,5,855,10,5,33.2,NA,NA,NA,NA,0,1,0,0.2
9921,3,OS,5,8,855,10,8,54,54.1,54.2,NA,NA,0,4,0,0.8
,,,,,,,,,,,,,3,16,0.6,3.2
,,,,,,,,,,,,, ,,0.2,2.32
9919,2,857,5,7,857,10,7,9.7,18,30.1,56.6,NA,2,4,0.4,0.8
9921,5,857,5,7,857,10,8,59.9,NA,NA,NA,NA,0,1,0,0.2
9926,13,857,5,8,857,10,14,24.6,35.7,48.5,NA,NA,1,3,0.2,0.6
